age,citi,day1,day10,day11,day12,day13,day14,day2,day3,day4,day5,day6,day7,day8,day9,duration,maxgroupsize,name,operatedin,physicalrating,price,rating,tourid,touroperator,url
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Pheriche,Lobuche,Everest Base Camp,Gorak Shep,","Day 1: Kathmandu – Lukla – Phakding 35 minute flight, 3-4 Hours Trek",Day 10: Island Peak Summit (6160m) & back to Base Camp (5200m),Day 11: Extra day for summit in case of bad weather ,Day 12: Trek to Pangboche (4360m) via Dingboche (4360 m),Day 13: Trek to Namche Bazaar,Day 14: Namche Bazaar to Lukla,Day 2: Phakding– Namche Bazaar ,Day 3: Namche Bazzar Acclimatization Day ,Day 4: Namche Bazaar – Tengboche,Day 5: Tengboche to Pheriche (4200 m),Day 6: Pheriche to Lobuche (4950 m),Day 7: Lobuche to Everest Base Camp (5400 m) & back to Gorakhshep,Day 8: Gorakshep to Kala Patthar (5545m) & trek to Chhukung (4730m),Day 9: Chhukung to Island Peak Base Camp (5200m),,"
                        15                    ","
            Island Peak Climbing with Everest Base Camp trek        ","
                    149426
                ","
                        12 to 75
                    ","US
                        $2,300","
      4.8
    (
      (109)
    ",,"
                    Mount Adventure Holidays Pvt.Ltd
                ",https://www.tourradar.com/128200
"
                    English
                ","Kathmandu,Lukla,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Pheriche,,",Day 1: Kathmandu- Lukla (Flight)- Phakding ,Day 10: Pheriche - Namche Bazzar,Day 11: Namche Bazzar- Lukla,Day 12: Lukla- Kathandu (Flight),,,Day 2: Phakding- Namche Bazzar,Day 3: Acclimatization ,Day 4: Namche Bazzar- Tengboche ,Day 5: Tengboche- Dingboche,Day 6: Acclimatization ,Day 7: Dingboche- Laboche ,Day 8: Labuche- Gorask Shep- Everest base camp- Gorakshep,Day 9: Gorakshep- Kalapathar- Pheriche,,"
                        10                    ","
            Cheap Everest Base Camp Trek        ","
                    220447
                ","
                        5 to 85
                    ","US
                        $809","
      4.9
    (
      (51)
    ",,"
                    Alpine Ramble Treks 
                ",https://www.tourradar.com/128200
"
                    English, German, Italian, Portuguese, French
                ",",,,,,,,,",Day 1: Drive from Kathmandu to Soti Khola (710m/2328 ft),"Day 10: Ascend to Larkya la (5160m/16, 924 ft) - Bimthang (3720m/12, 201 ft)",Day 11: Trek from Bhimtang to Dharapani (1920 m),Day 12: Drive from Dharapani to Kathmandu via Besishar by local jeep/ bus,,,Day 2: Trek from Soti Khola - Maccha Khola (900m/2952 ft),Day 3: Trek from Maccha Khola -Jagat (1410m/ 4625 ft),"Day 4: Trek from Jagat - Deng (1,804m/5917 ft])",Day 5: Trek from Deng - Namrung (2630m/8626ft),"Day 6: Trek from Namrung – Samagaon (3530m/11,578 ft)","Day 7: Aclimatization, visit to Pungyen gompa","Day 8: rek from Samagaon - Samdo (3860m/12,660 ft)","Day 9: Trek from Samdo - Dharamsala/Larkya B. C. (4460m/14, 628 ft)",,"
                        12                    ","
            Manaslu Circuit Trek- A less-crowded Trek in Nepal        ","
                    218186
                ","
                        8 to 75
                    ","US
                        $1,026","
      4.9
    (
      (51)
    ",,"
                    Alpine Ramble Treks 
                ",https://www.tourradar.com/128200
,"Kathmandu,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Pheriche,Lukla,",Day 01: Arrive at Kathmandu and transfer to the hotel,"Day 10: Lobuche to Gorekshep via EBC (5,170m)8-9 hrs",Day 11: Gorekshep to Pheriche Via Kalapatthar (4280 m) 8-9 hrs,"Day 12: Trek from Pheriche to Namche (3,570m) 5-6 hrs",Day 13: Trek back from Namche to Lukla: 6- 8 hrs,Day 14: Flights from Lukla - Kathmandu,Day 02: World heritage Sightseeing and Trek Preparation,"Day 03: Kathmandu to Phakding via Lukla flight (2,652m) 3 hrs","Day 04: Phakding to Namche Bazaar (3,440m) 5 - 6 hrs",Day 05: Namche Bazaar : Rest day,"Day 06: Namche to Tengboche (3,870m): 5 - 6 hrs","Day 07: Tengboche to Dingboche (4,360 m) 5 - 6 hrs",Day 08: Dingboche Rest Day,"Day 09: Trek from Dingboche - Lobuche (4,910) 5-6 hrs","
            15 days                            
  ",,"
            Everest Yoga Trek        ",,,"US
                        $1,820",(,,,https://www.tourradar.com/128200
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Everest Base Camp,Dingboche,,,","Day 1: Fly from Kathmandu to Lukla 2,820 m and trek to Phakding (2,640 m) – 04 hrs.","Day 10: Base Camp to Summit and back to Base Camp then descend to Chhukung (5,600m/18,372ft & 9hrs)",Day 11: Trek to Namche Bazaar   6-7 hrs walk approx,"Day 12: Trek to Lukla (2,800 m/9,186 Ft & 6-7hrs)",Day 13: Fly Lukla/Kathmandu 35 minutes.,,"Day 2: Trek to Namche Bazaar (3,440 m ) – 05/6 hrs.",Day 3: Acclimatize at Namche Bazaar,"Day 4: Trek to Tengboche(3,855 m/12,850 feet) – 4/5 Hours","Day 5: Trek to Dingboche(4,460 m / 14,290 feet) – 5/6 Hours",Day 6: Dingboche for acclimatization,"Day 7: Trek to Chhukung (4,730 m/15,518 Ft &)-  2 hrs walk","Day 8: Trek to Island Peak Base camp (5,200 m/17,060 Ft ) - 2 hrs walk",Day 9: Preparation / reserve/ Island peak base camp,,"
                        15                    ","
            Shortest Island Peak Climbing        ","
                    171013
                ","
                        15 to 70
                    ","US
                        $2,120","
      4.9
    (
      (51)
    ",,"
                    Alpine Ramble Treks 
                ",https://www.tourradar.com/128200
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,Chitwan National Park,,,,",Day 01: Arrival in Kathmandu (1350m),Day 10: Trek to Nayapul (1120m) 4-5hrs walk and drive back to Pokhara (820m) about 2 hrs drive,Day 11: Full day in Pokhara,Day 12: Drive to Chitwan National Park (about 5 hrs),Day 13: Full day in Chitwan National Park,Day 14: Drive to Kathmandu (4-5hrs),Day 02: Full day in Kathmandu,Day 03: Drive to Pokhara (820m) about 7 hrs,Day 04: Drive to Nayapul (1120m) about 2 hrs drive and trek to Hile (1520m) about 4 hrs walk,Day 05: Trek to Banthanti (2400m) 3-4 hrs walk,Day 06: Trek to Ghorepani (2780m) 3-4 hrs,Day 07: Trek to Poon Hill (3210m) about 01 hrs and full day in Ghorepani,Day 08: Trek to Tadapani (2660m) 4-5 hrs,Day 09: Trek to Ghandruk (1990m) 3-4 hrs walk,,"
                        12                    ","
            Slow And Easy Trekking In Annapurna        ","
                    110128
                ","
                        10 to 75
                    ","US
                        $1,050","
      4.6
    (
      (18)
    ",,"
                    Trekking Planner Pvt. Ltd.
                ",https://www.tourradar.com/128200
"
                    English
                ",",,,,,,,,","Day 1: Arrival at the Tribhuwan International Airport in Kathmandu (1,345m).",Day 10: Trek back to Bamboo (2345m)- 6 hrs,"Day 11: Trek to Jhinu hot spring (1,780m) - 5 hrs","Day 12: Trek to Nayapul (1,010 m) - 4.5hrs Drive to Pokhara - 1.5 hrs",Day 13: Pokhara City tour,"Day 14: Drive back to Kathmandu (1,345m) and farewell dinner",Day 2: Pre-trip meeting and sightseeing in Kathmandu (1345),Day 3: Drive to Pokhara (900 m)by tourist bus -7 hrs,"Day 4: Drive to Nayapul (1,010m) - 1.5 hrs and Trek to Tikhedhunga (1,570m)- 3.5 hrs","Day 5: Trek to Ghorepani(2,840m) -6 hrs","Day 6: Hike up to Poon Hill (3,210m); and trek to Tadapani (2,610m) 6hrs",Day 7: Trek to Sinwa (2340m) -6.30 hrs,Day 8: Trek to Himalaya (2840meters) -5.5 hrs,"Day 9: Trek to Annapurna Base Camp (4,130m) -5 hrs",,"
                        15                    ","
            Annapurna Base Camp Trek        ","
                    106375
                ","
                        16 to 70
                    ","US
                        $1,350","
      4.9
    (
      (31)
    ",,"
                    Apex the Asia Holiday Pvt Ltd
                ",https://www.tourradar.com/113107
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 1: Arrival in Kathmandu,Day 10: Pokhara,Day 11: Drive to Kathmandu,Day 12: Departure from Kathmandu,,,Day 2: Guided tour of Kathmandu,Day 3: Drive to Pokhara,Day 4: Trek to Tikhedhungga,Day 5: Trek to Ghorepani,Day 6: Hike to Poon Hill and trek to Tadapani,Day 7: Trek to Ghandruk,Day 8: Trek to Jhinu Danda,Day 9: Trek to Tolkha/Dhampus,,"
                        10                    ","
            Annapurna Skyline Trek - Nepal        ","
                    139254
                ","
                        11 to 65
                    ","US
                        $1,030","
      4.8
    (
      (5)
    ",,"
                    Himalayan Planet Adventures
                ",https://www.tourradar.com/113107
"
                    English
                ",",,,,,,,,","Day 1: Arrival in Kathmandu (1,300m/4,264ft)",Day 10: Yak kharka to Thorang Phedi: (4420m/14501ft): 3-4 hours,"Day 11: Trek to Thorong La (5416m/17764ft) to Muktinath (3,800/12,467ft) then drive to Jomsom: 7 - 8 hours trek, 1 hour drive",Day 12:  Fly from Jomsom to Pokhara: 25 minutes,Day 13: Drive from Pokhara to Kathmandu: 5-6 hours,Day 14:  Final departure,Day 2: Kathmandu: Sightseeing and Trek Preparation,Day 3: Drive from Kathmandu to Syange (1100m/3608 ft): 8 - 10 hours,"Day 4:  Trek from Syange to Dharapani (1,960m/6,430ft): 7 - 8 hours","Day 5: Dharapani to Chame (2,710m/8,891ft): 5 - 6 hours","Day 6: Chame to Pisang (3,300m/10824ft): 5 - 6 hours","Day 7: Pisang to Manang (3,500m/11,482ft): 6 - 7 hours",Day 8: Manang: Acclimatization day,"Day 9: Manang to Yak Kharka (4,110m/13,484ft): 3 - 4 hours",,"
                        12                    ","
            Annapurna Circle Trek        ","
                    68673
                ","
                        16 to 75
                    ","US
                        $1,799","
      4.8
    (
      (5)
    ",,"
                    Himalayan Glacier Trekking Pvt. Ltd.
                ",https://www.tourradar.com/113107
"
                    English
                ","Kathmandu,Pokhara,,,,,,,","Day 1: Arrival in the Kathmandu (1440m/4,724 Ft)",Day 10: Back to Pokhara,Day 11: Return to Kathmandu,Day 12: Departure,,,Day 2: Traverse the street of Kathmandu,Day 3: Drive to Pokhara (884m/2900ft),"Day 4: Drive to Khade; Trek to Deurauli (Elev.2060m/6,759ft)","Day 5: Navigating Towards Kokarforest Camp (Elev.2500m/8,202ft)","Day 6: Trek to High Camp (Elev. 3,580m/11,745ft)","Day 7: Trek to Mardi Himal Base Camp (Elev. 4,500m/14,764ft), Back to Badal Danda",Day 8: Trek to Kalimati,Day 9: Trek to Lwang Valley Home,,"
                        15                    ","
            Mardi Himal Trek        ","
                    195912
                ","
                        15 to 60
                    ","US
                        $1,250","
      4.8
    (
      (5)
    ",,"
                    Himalayan Planet Adventures
                ",https://www.tourradar.com/113107
"
                    English
                ",",,,,,,,,","Day 1: Arrival in Kathmandu (1,300m/4,264ft)","Day 10: Trek to Ulleri (2,050 m/6,725 ft): 5-6 hours","Day 11:  Trek to Naya Pul then drive to Pokhara: 5-6 hours trek, 1 hour drive",Day 12:  Sightseeing in Pokhara then fly to Kathmandu,Day 13: Final departure,,Day 2: Sightseeing in Kathmandu,"Day 3: Fly to Pokhara, drive to Syauli Bazaar and trek to Ghandruk: 30 mins flight, 2 hours drive and 3 hours trek","Day 4: Ghandruk to Tadapani (2,590m/8,497ft) 3-4 hours","Day 5:  Tadapani to Dobato (3,350m/10,990ft): 4-5 hours","Day 6: Dobato to Upper Chistibung (2,975m/3,198ft) 4-5 hours","Day 7: Trek to Khopra Ridge (3,660m/12007): 3-4 hours","Day 8: Rest day in Khopra Ridge: Tour of Kaire Lake (4,500m/14,763ft): 10-11 hours","Day 9: Trek to Swanta Village (2,200m/7,217ft): 5-6 hours",,"
                        16                    ","
            Khopra Ridge Community Trek        ","
                    189339
                ","
                        13 to 85
                    ","US
                        $1,530","
      4.8
    (
      (5)
    ",,"
                    Himalayan Glacier Trekking Pvt. Ltd.
                ",https://www.tourradar.com/113107
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,",Day 1: Arrival in Kathmandu,Day 10: Trek back to Jorsalle village,Day 11: Trek back to Lukla village,Day 12: Fly back to Kathmandu,Day 13: Rest in Kathmandu or Flight Reserve,Day 14: Departure from Kathmandu,Day 2: Early Flight to Lukla and Trek to Phakding village,Day 3: Trek to Namche Bazar,Day 4: Acclimatization and exploration at Namche Bazaar,Day 5: Trek to Dole Sherpa village,Day 6: Trek to Machhermo village,Day 7: Trek to Gokyo village,Day 8: Trek to Gokyo Ri and explore Gokyo Lakes,Day 9: Trek back to Mongla Hill,,"
                        15                    ","
            Gokyo Ri Trek with View of Mount Everest        ","
                    194948
                ","
                        15 to 60
                    ","US
                        $1,775","
      4.8
    (
      (5)
    ",,"
                    Himalayan Planet Adventures
                ",https://www.tourradar.com/113107
"
                    English
                ",",,,,,,,,",Day 1: Kathmandu - Pokhara  7 hours  Hotel,Day 10: Bamboo - Jhinu  5-6 hours   Guest house,Day 11: Jhinu - Siwai & drive back to Pokhara  5-6 hours   Hotel,Day 12: Pokhara - Kathmandu  7 hours  Hotel,,,Day 2: Pokhara - Ulleri (2050 mm)  6 hours   Guest house,"Day 3: Ulleri - Ghorepani (2,750 m)  6 hours   Guest house",Day 4: Ghorepani - Poon Hill - Tadapani  6.30 - 7 hours   Guest house,Day 5: Tadapani - Chhomrong  5 hours   Guest house,Day 6: Chomrong - Dovan  5 - 6 hours   Guest house,Day 7: Dovan - Deurali/Machhapuchhre Base Camp  4 - 6 hours   Guest house,Day 8: Annapurna Base Camp  2 - 4 hours   Guest house,Day 9: Annapurna Base Camp - Bamboo  5 hours   Guest house,,"
                        20                    ","
            Annapurna Base Camp Trek        ","
                    136685
                ","
                        8 to 75
                    ","US
                        $825","
      4.8
    (
      (109)
    ",,"
                    Mount Adventure Holidays Pvt.Ltd
                ",https://www.tourradar.com/113107
,"Kathmandu,Pokhara,,,,,,,",Day 1: KATHMANDU,Day 10: POKHARA,Day 11: POKHARA TO KATHMANDU,Day 12: KATHMANDU,,,Day 2: KATHMANDU,Day 3: KATHMANDU TO AUSTRALIA CAMP,Day 4: AUSTRALIA CAMP TO FOREST CAMP,Day 5: FOREST CAMP TO LOW CAMP,Day 6: LOW CAMP TO HIGH CAMP,Day 7: HIGH CAMP TO BASE CAMP TO BADALDANDA,Day 8: BADALDANDA TO LANDRUK,Day 9: LANDRUK TO POKHARA,,,"
            Base Camp Trek to Nepal's Mardi Himal - (PRIVATE TRIP)        ",,,"US
                        $2,110","
      4.8
    (
      (141)
    ",,,https://www.tourradar.com/113107
"
                    English, German, French, Spanish, Chinese
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,","Day 01: Arrival in Kathmandu (1,300m/4,264ft)",Day 10:  Annapurna Base Camp to Bamboo: 7 - 8 hours,Day 11: Bamboo to Jhinu Danda (1760m/5770 ft): 5 - 6 hours,"Day 12: Trek to Naya Pul then drive to Pokhara: 6 hours trek, 1 hour drive",Day 13: Fly from Pokhara to Kathmandu,Day 14: Final departure,Day 02: Kathmandu: sightseeing and trek preparation,Day 03: Fly to Pokhara and trek to Ulleri (2050 m/6725 ft): 30 min flight and 6 hours trek,"Day 04: Ulleri to Ghorepani (2,750 m/ 9,020 ft): 4 - 5 hours trek","Day 05: Ghorepani to Tadapani (2,700m/8,860ft) with a visit to Poon Hill (3,210m/10,529ft): 6 - 7 hours",Day 06: Tadapani to Chhomrong (2170m/7120ft): 6 hours trek,Day 07: Chhomrong to Bamboo (2310m/7578ft): 4 - 5 hours,"Day 08: Bamboo to Deurali (3230m/10,595ft): 3 - 4 hours","Day 09: Deurali to Annapurna Base Camp (4,130m/13,545ft) via Machhapuchhre Base Camp (3700m/12135ft): 5- 6 hours",,"
                        16                    ","
            Annapurna Sanctuary Trek        ","
                    68677
                ","
                        12 to 85
                    ","US
                        $1,739","
      4.8
    (
      (5)
    ",,"
                    Himalayan Glacier Trekking Pvt. Ltd.
                ",https://www.tourradar.com/113107
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Everest Base Camp,Pheriche","Day 01: Fly from Kathmandu to Lukla at Tenzing-Hillary Airport early morning 30 minutes scenic flight then and trek to Phakding 2,612 m / 8,570 f - 04 hrs.",Day 10: Trek to Namche Bazaar - 06 hrs. ,"Day 11: Trek to Lukla 2,860 m / 9,383 ft - 06 hrs. ",Day 12: From Lukla fly to Kathmandu end of our service with transfer to your hotel.,,,"Day 02: Trek to Namche Bazaar 3,440 m / 11,287 ft via Sagarmatha National park check post - 06 hrs. ",Day 03: Acclimatization and Rest day in Namche Bazaar.,"Day 04: Trek to Tengboche Monastery 3,860 m /12,665 ft - 05 hrs. ","Day 05: Trek to Dingboche 4,410 m /14,468 ft - 05 hrs.",Day 06: Acclimatization (rest) day in Dingboche.,"Day 07: Trek to Lobuche 4,940 m /16,208 ft - 05 hrs.","Day 08: Trek to Gorak-Shep 5,164 m / 16,942 ft after lunch hike to Everest Base Camp 5,364 m /17,598 ft) back to Gorakshep.","Day 09: Early morning hike to Kala Patthar 5,545 m /18,192 ft and trek to Pheriche 4,137 m / 14,340 ft - 06 hrs. ",,"
                        4                    ","
            Small Group Everest Base Camp Trek -12 Days        ","
                    154750
                ","
                        10 to 85
                    ","US
                        $1,400","
      4.7
    (
      (44)
    ",,"
                    White Hill Adventure Treks and Expedition Pvt Ltd
                ",https://www.tourradar.com/113107
"
                    English
                ",",,,,,,,,","Day 01: Drive from Kathmandu to Bulbule (840m/2,755 ft) and  Trek to Nagdi 930 m/3,051 ft -05/6 hrs.","Day 10: Cross Thorang-la Pass 5,416 m/17,769 ft trek to  Muktinath-6/7hrs.","Day 11: Trek to Jomsom 2,715 m/8,907ft - 4/5 hrs."," Day 12: Fly to Pokhara 860m/2,821ft 25 Minute Flights.",,,"Day 02: Trek to Jagat 1,300m/4,265 ft - 5/6 hrs.","Day 03: Trek to Dharapani 1, 860m/6,102ft- 5/6 hrs.","Day 04:  Trek to Chame 2,670 m/8,759 ft- 5/6 hrs.","Day 05: Trek to Pisang 3, 230 m/10,597 ft - 5/6 hrs.","Day 06: Trek to Manang 3,450 m/11,318 ft - 5/6 hrs."," Day 07: Trek to Ice lake 4,600m/15,091ft acclimatization in  Manang- 5/6 hrs.","Day 08: Trek to Leder 4,200m/13,779 ft - 4/5 hrs.","Day 09: Trek to Thorang High Camp 4,600 m/15,091ft -3/4 hrs.","
            12 days                            
  ","
                        4                    ","
            Small Group Annapurna Circuit Trek - 12 Days        ","
                    145648
                ","
                        12 to 70
                    ","US
                        $1,160",(,,"
                    White Hill Adventure Treks and Expedition Pvt Ltd
                ",https://www.tourradar.com/113107
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,","Day 01: Arrival in Kathmandu (1,350m/4,428ft)",Day 10: Monjo to Lukla: 5- 6 hours,Day 11: Fly to Kathmandu,Day 12: Final departure,,,Day 02: Kathmandu: Sightseeing and trek Preparation,"Day 03: Fly to Lukla, trek to Phakding (2,651m/8,700ft): 3 - 4 hours trek","Day 04: Phakding to Namche Bazaar (3,438m/11,280 ft): 5 - 6 hours","Day 05: Acclimatization Day - Namche Bazaar: (3,440m/11,284ft)","Day 06: Namche Bazaar to Khumjung (3,810 m/12500 ft): 4 hours","Day 07: Khumjung to Tengboche (3,870m/12694ft): 4 - 5 hours","Day 08: Tengboche to Kyangjuma (3,570m/11,710ft): 4 - 5 hours","Day 09: Kyangjuma to Monjo (2,840m/9,315ft): 4 - 5 hours",,"
                        16                    ","
            Everest View Trek-12 Days        ","
                    68749
                ","
                        12 to 85
                    ","US
                        $1,614","
      4.8
    (
      (5)
    ",,"
                    Himalayan Glacier Trekking Pvt. Ltd.
                ",https://www.tourradar.com/113107
,"Kathmandu,Lukla,,,,,,,","Day 01: Flight from Kathmandu to Lukla (Tenzing hilliarry Airport) early morning 30 minutes scenic flight then Trek to Chutanga (3,020 meter/ 9980 feet) - 4/5 hours. ","Day 10: Trek down to Kothe (3600 meters/11,808 feet) – 4/5 hours.","Day 11: Trek down to Thuli Kharka (4,300 meters/14,07 feet) - 5/6 hours"," Day 12: Trek down to Lukla via Zatrwa La pass  (4,610 meters/ 15,124 feet) - 6/7 hours",Day 13:  Lukla (Tenzing hilliarry Airport) to Kathmandu (Tribhuvan Int´l Airport) fly back.,,"Day 02: Trek to Thuli Kharka (4300 meter/14,107 feet) - 5/6 hours. ","Day 03: Trek to Kothe (3600 meters/11,808 feet) – 5/6 hours.","Day 04: Trek to Thangnak (4,356 meters/ 14291 feet) - 5/6 hours. ","Day 05: Trek to Khare (5,045 meters/16551 feet) - 3/4 hours.","Day 06: Acclimatization day in Khare and Pre-Climbing Training and become familiar with using crampons, Carabiners, figure eight, rope Ice Axe etc."," Day 07: Climb Mera High Camp (5,780 meters / 18,958 feet) 6/7 hours. ","Day 08:  Mera Peak (6,461 meters/21,190 feet) summit and back to Khare (5,045 meters/16551 feet) - 8/9 hours. ",Day 09: Reserve Day for Contingency.  ,"
            13 days                            
  ",,"
            Mera Peak Climb-13 Days        ",,,"US
                        $2,550",(,,,https://www.tourradar.com/113107
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,",Day 01: Arrive in Kathmandu (1300 m/4264 ft),Day 10: Gokyo to Dole: 3 - 4 hours,Day 11: Dole to Namche Bazaar: 4 - 5 hours,Day 12: Namche Bazaar to Lukla: 6 - 8 hours,Day 13: Fly to Kathmandu,Day 14: Final departure,Day 02: Kathmandu: Sightseeing and trek preparation,"Day 03: Fly to Lukla (2,800 m/9,184 ft), trek to Phakding (2,652 m/8,700 ft): 3 - 4 hours","Day 04: Phakding to Namche Bazaar (3,440 m/11,283 ft): 5 - 6 hours",Day 05: Namche Bazaar: acclimatization,"Day 06: Namche Bazaar to Phorse (3810 m/ 12,496 ft): 5 - 6 hours","Day 07: Phorse Village to Machhermo-(4,470 m/ 14,663 ft): 5 - 6 hours","Day 08: Machharmo to Gokyo (4800 m/15,744 ft): 5 - 6 hours","Day 09: Gokyo Valley: Climb Gokyo Ri (5357 m/17,570 ft) and hike to fifth lakes: 5 - 6 hours",,"
                        16                    ","
            Gokyo Lakes and Gokyo Ri Trek        ","
                    189036
                ","
                        12 to 85
                    ","US
                        $1,799","
      4.8
    (
      (5)
    ",,"
                    Himalayan Glacier Trekking Pvt. Ltd.
                ",https://www.tourradar.com/113107
,",,,,,,,,",Day 1:Drive Kathmandu to Soti Khola (710m) 9 hours   Guest house,"Day 10:Trek Burgi village to Chumling (2,386m)7hours   Guest house","Day 11:Trek Chumling to Philim (1,570m)7hours   Guest house",Day 12:Trek Philim to Khorlabesi (970m)7hours   Guest house,Day 13:Trek Khorlabesi to Soti Khola (700m)7hours   Guest house,Day 14:Soti Khola to Kathmandu 8hours,Day 2:Trek Soti Khola to Machha Khola (870m) 6/7 hours   Guest house,Day 3:Trek Machha Khola to Jagat (2340m) 7 hours   Guest house,Day 4:Trek Jagat to Chisopani (1660m) 5hours   Guest house,"Day 5:Trek Chisopani to Chumling (2,386m)7 hours   Guest house","Day 6:Trek Chumling to Chokhangparo (3,010m) 7hours   Guest house","Day 7:Trek :Chokhangparo to Nile (3,361m) 6 hours   Guest house","Day 8:Trek Nile to Mu Gompa (3,700m) 6hours   Guest house","Day 9:Trek Mu Gompa to Burgi Village (3,245m) 6hours   Guest house",,,"
            Tsum Valley Trek        ",,,"US
                        $1,400","
      4.8
    (
      (109)
    ",,,https://www.tourradar.com/113107
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Gorak Shep,Pheriche",Day 1: Arrival in Kathmandu (1400m),"Day 10: Trek to Everest Base camp (5,365m) and then back to Gorak Shep (5,140m) Duration: 8 hours","Day 11: Hike up to Kala Patthar (5,555m) Early in the morning and trek down to Pheriche (4240m) Duration: 7 hours","Day 12: Trek to Namche Bazzar (3,440 m) Duration: 7 hours","Day 13: Trek to Lukla (2,840m) Duration: 7 hours",Day 14: Flight- Lukla to Kathmandu,Day 2: Guided Kathmandu Valley Sightseeing,"Day 3: Flight- Kathmandu to Lukla (2840m) and trek to Phakding (2,610m) Duration: 3 hours",Day 4: Trek to Namche Bazaar (3440m) Duration: 6 hours,Day 5: Acclimatization: Namche Bazaar,"Day 6: Trek to Tengboche (3,860m) Duration: 5 hours","Day 7: Trek to Dingboche (4,410m) Duration: 5 hours",Day 8: Acclimatization: Hike to Nangkartshang Peak (5083m) Duration: 6 hours,"Day 9: Trek to Lobuche (4,910m) Duration: 5 hours",,"
                        10                    ","
            EBC Luxury Lodge Trek        ","
                    149073
                ","
                        12 to 85
                    ","US
                        $3,505","
      4.7
    (
      (7)
    ",,"
                    Travel Max Guide
                ",https://www.tourradar.com/140316
,",,,,,,,,","Day 1:  Arrival At Kathmandu, Meet At Airport And Transfer To Hotel","Day 10: Khare To Mera Base Camp (5,300m): WAlking 3-4hrs","Day 11: Mera Base Camp To High Camp (5,780m): Walking 4-5hrs","Day 12: Mera High Camp To Summit (6,476m): Walking 8-9hrs",Day 13: Khare To Kothe (3600m): 4-5hrs,Day 14: Kothe To Thuli Kharka; Walking 5-6 Hrs,Day 2: Flight To Lukla/Acclimatization,"Day 3: Trek From Lukla To Chutanga (3,050m)/Acclimatization; Walking 3-4hrs","Day 4: Trek From Chutanga To Khartitang(3,900m); Walking 6hrs","Day 5: Trek From Khartitang To Kothe (4,095m); Walking 4hrs","Day 6: Kothe To Tangnank (4,350m): Walking 3-4hrs",Day 7: Rest And Acclimatization Day At Thangnak.,"Day 8: Tangnank To Khare (5,045m): Walking 2-3hrs",Day 9: Rest And Acclimatization Day At At Khare.,,,"
            Mera Peak Climbing        ",,,"US
                        $1,791","
      4.8
    (
      (38)
    ",,,https://www.tourradar.com/140316
"
                    English
                ","Pokhara,Ghorepani,Annapurna,,,,,,",Day 1: Drive from Pokhara 860m/2821ft to Nayapul and trek to Ulleri.(1960 m/6430ft).-4/5hrs. ,,,,,,"Day 2: Trek to Ghorepani (2,880m/9448ft) – 05 hrs. ","Day 3: Morning hike to Poon-Hill(3210m/10531ft) and trek to Tadapani(2,721m/8927ft) – 05 hrs.",Day 4: Trek to Kyumi (via Ghandruk village 1940m/6364ft) and drive to Pokhara (860m/2821ft).-5/6 hrs. ,,,,,,"
            4 days                        
  ","
                        6                    ","
            Ghorepani Poon Hill Trek        ","
                    142505
                ","
                        8 to 75
                    ","US
                        $450",(,,"
                    White Hill Adventure Treks and Expedition Pvt Ltd
                ",https://www.tourradar.com/140316
